Tool ID,In SR or is Standalone?,1st Level Code,2nd Level Code,3rd Level Code,4th Level Code,Normalised Criterion,Appraisal (A) or Reporting (R) Mode,"Original, Modified or Existing tool?",Eligibility of Parent Tool?,Web of Science Topic Label 1,Web of Science Topic Label 2,Web of Science Topic Label 3,Web of Science Topic Label 4,Web of Science Topic Label 5
Adnan 2018,Systematic review,Analysis,Results,Complete reporting,Not classified,Selective reporting,A,Original,N/A,Dentistry,Oral surgery and medicine,,,
Adnan 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Allocation concealment,Allocation concealment,A,Original,N/A,Dentistry,Oral surgery and medicine,,,
Adnan 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinded outcome assessment,A,Original,N/A,Dentistry,Oral surgery and medicine,,,
Adnan 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Random allocation of subjects to study groups,A,Original,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation of teeth,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Bonding force,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Crosshead speed,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Manufacturers instruction,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Chisel type,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Previous polishing,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Storage medium after bonding,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Storage time,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Teeth free of caries and defects,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Altmann 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Teeth storage medium,R,Unclear,N/A,Dentistry,Oral surgery and medicine,,,
Asweto 2017,Systematic review,Analysis,Interpretation,Not classified,Not classified,Intepretation of results,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Analysis,Results,Not classified,Not classified,Dose-response relationship,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical methods,A,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Analysis of precision of results,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Analysis of variability of results,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Objective,Hypothesis,Theoretical basis,Not classified,Justification of model,A,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Objective,Justification,Context,Not classified,Scientific context,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Objective,Not classified,Not classified,Not classified,Objectives,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Other,Interests,Not classified,Not classified,Sources of funding,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Cell maintenance conditions,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Test System,Theory,Not classified,Not classified,Study design,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Asweto 2017,Systematic review,Test System,Theory,PECO,Outcomes,Outcomes,R,Original,N/A,Environmental sciences,Pharmacology and pharmacy,Toxicology,,
Aurelio 2016,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size calculation,R,Modified,Eligible,Dentistry,Oral surgery and medicine,Materials science,,
Aurelio 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of operator of test machine,R,Modified,Eligible,Dentistry,Oral surgery and medicine,Materials science,,
Aurelio 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation of specimens,R,Modified,Eligible,Dentistry,Oral surgery and medicine,Materials science,,
Aurelio 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Investigator roles,Single operator,R,Modified,Eligible,Dentistry,Oral surgery and medicine,Materials science,,
Aurelio 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Flexural strength calculations according to standard,R,Modified,Eligible,Dentistry,Oral surgery and medicine,Materials science,,
Aurelio 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Samples obtained from standardised process,R,Modified,Eligible,Dentistry,Oral surgery and medicine,Materials science,,
Aurelio 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Standardised practices,Specimen dimensioning according to standard,R,Modified,Eligible,Dentistry,Oral surgery and medicine,Materials science,,
Aurelio 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Standardised practices,Standardised air-abrasion procedures,R,Modified,Eligible,Dentistry,Oral surgery and medicine,Materials science,,
Aurelio 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Standardised practices,Test designs according to standard,R,Modified,Eligible,Dentistry,Oral surgery and medicine,Materials science,,
Benetti 2018,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical methods,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Benetti 2018,Systematic review,Objective,Not classified,Not classified,Not classified,Clear objectives,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Benetti 2018,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Rationale for sample size,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Benetti 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinded analysis,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
